title,label
재학생 영어진단평가 신청 및 일정 안내 ,0
울산대학교 2019년도 2학기 국내교환대학 학점교류 수학 안내 만료,0
2019학년도 여름계절제 학부 강의정보 공유를 위한 설문 실시 안내 만료,0
울산과학기술원 2019학년도 2학기 국내대학 학점교류 수학 안내 만료 ,0
한국과학기술원 2019학년도 2학기 국내교환 학점교류 수학 안내 만료 ,0
한국예술종합학교 2019년도 2학기 국내대학 학점교류 수학 안내 만료 ,0
고려대학교 2019년도 2학기 국내교환학생 학점교류 수학 안내 만료 ,0
2019학년도 1학기 학부 강의정보 공유 설문 결과 조회 안내 만료 ,0
한국외국어대학교 2019년도 2학기 국내대학 학점교류 수학 안내 만료,0
성신여자대학교 2019학년도 2학기 국내대학 학점교류 수학 안내 만료,0
이화여자대학교 2019학년도 2학기 국내대학 학점교류 수학 안내 만료,0
성균관대학교 2019학년도 2학기 국내대학 교류수학 안내 만료,0
중앙대학교 2019학년도 2학기 국내대학 학점교류 수학 안내 만료,0
2019학년도 2학기 대학(원) 신(편)입생 학생증 발급 일정,0
2019-2학기 재학생 등록 안내(Registration Guideline for current students) 만료,0
학사경고자 학사지도 안내,0
서강대학교 2019년도 2학기 국내대학 학점교류 수학 안내 만료,0
전주대학교 2019년도 2학기 국내대학 학점교류 수학 안내 만료,0
계명대학교 2019학년도 2학기 국내대학 학점교류 수학 안내 만료,0
2019년 8월 졸업/수료 심사 결과 조회 안내(Notification of August 2019 Graduation / Completion Approval Status),0
영남대학교 2019학년도 2학기 국내대학 학점교류 수학안내 만료,0
연세대학교 제19대 총장 초빙 공고,0
2020년 2월 졸업 신청 안내(Notices for February 2020 Graduation Application),0
2019-2학기 점심나눔 신청 안내,0
2018-2학기 의료비 학생건강공제회 접수마감 안내,0
2019-2학기 학생건강공제회 가입 및 이용안내(요약),0
2019 교육부 사립대학 종합감사 관련 개인정보 제3자 제공사항 알림,0
졸업앨범 미촬영자 앨범비 환불신청 안내(신촌캠 학부생),0
연세대학교 총장 선임 절차 상 금지사항 및 위반 신고 안내,0
2019년도 2학기 국내대학 교환학생(타대생) 학사안내 만료,0
2019학년도 2학기 졸업예정자 복수전공 합격자 발표,0
2019학년도 2학기 선택교양 일몰 교과목 재수강 지정 목록 및 신청 안내,0
[시설처] 냉방중지 안내 신촌 시설처,0
2020년 2월 졸업신청 안내 [학사학위수료자 대상],0
학생 상해보험 제도 안내 ,0
2019년 8월 학위수여식 안내,0
피트니스센터[신촌] 2학기 및 9월 회원등록 안내 만료,0
2019년 8월 학위수여식 셔틀 단축 안내,0
한남대학교 2019학년도 2학기 국내대학 학점 교류 수학 안내,0
2019학년도 2학기 학부 수강인원 미달 최종폐강 교과목 안내,0
2019-2학기 졸업앨범 추가 촬영 일정 및 앨범비 납부 안내,0
2020년 2월 조기졸업 신청 안내(Early graduation Application Period for 2020 February Graduation) ,0
연세정신과 인권’ 교과목 안내,0
연세대학교 총장 후보 검증 안내,0
2019학년도 2학기 신촌캠퍼스 셔틀버스 운행시간표,0
교내 정보시스템 및 네트워크 일시 중지 안내,0
2019학년도 2학기 수강인원 미달에 따른 1차 폐강 미실시 안내 만료,0
2019-2 국제캠퍼스 (장애인)셔틀버스 운행시간표,0
2019 IHEI WORKSTATION 추가모집 ,0
2019-2학기 분할납부 10월 등록일정 안내 만료,0
[YDEC] 2019-1 Adobe CC ID 신청 안내,0
2019학년도 겨울 계절제 수업 안내 (학부) 만료,0
연세정신과 인권’ 교과목 추가 안내,0
2019학년도 2학기 학부 수강과목 철회 안내 만료,0
2020-2학기 해외파견프로그램(교환학생) 설명회 및 전형 일정 안내 만료,1
